Código Seção,Seção,Código Divisão,Divisão,Código Grupo,Grupo,Código Classe,Classe,Código Subclasse,Subclasse
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/03,Serviço de manejo de animais
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.63-6,Atividades de pós-colheita,0163-6/00,Atividades de pós colheita
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.7,Caça e serviços relacionados,01.70-9,Caça e serviços relacionados,0170-9/00,Caça e serviços relacionados
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/01,Cultivo de eucalipto
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/02,Cultivo de acácia negra
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/03,Cultivo de pinus
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/04,Cultivo de teca
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia negra, pinus e teca"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/06,Cultivo de mudas em viveiros florestais
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",2,PRODUÇÃO FLORESTAL,2.1,Produção florestal - florestas plantadas,02.10-1,Produção florestal - florestas plantadas,0210-1/07,Extração de madeira em florestas plantadas
